csvbase_row_id,Datum,Förmiddag / Eftermiddag,Skola / Grupp,Klass,Art,Element,Del,Sida,Region,Antal fragment,Vikt (g),Mĺtt (mm),Fusionering,Tandslitage ,Ĺlder,Kön,Weathering,Trampling,Gnag,Eldpĺverkan,Slaktspĺr,Bearbetning,Patologi,Kommentar,Övrigt,col26
4709,2025-09-01,FM,Frostaskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"0,5",,,,,,,,,B,,,,"Svartsvedd fragment, okänd art",,4709
4710,2025-09-01,FM,Frostaskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"0,7",,,,,,,,,B,,,,"Svartbrända fragment, okänd art",,4710
4711,2025-09-01,FM,Frostaskolan,5A+B,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,3,"3,9",,,,,,,,,B,,,,"Svartbrända rörbensfragment, okänd art",,4711
4712,2025-09-01,FM,Frostaskolan,5A+B,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,1,"1,9",,,,,,,,,W,,,,"Vitbränt rörbensfragment, okänd art",,4712
4713,2025-09-01,FM,Frostaskolan,5A+B,Däggdjur (Mammalia),Costa,Corpus,,Bĺl,1,"0,2",,,,,,,,,W,,,,"Vitbränt revbensfragment, okänd art",,4713
4714,2025-09-01,FM,Frostaskolan,5A+B,Däggdjur (Mammalia),Obestämd,,,Okänd,6,"1,3",,,,,,,,,W,,,,"Vitbrända fragment, okänd art",,4714
4715,2025-09-01,EM,IES Hässleholm,5B,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,7",,,,,,,,,,,,,Obestämbart tandfragment,,4715
4716,2025-09-01,EM,IES Hässleholm,5B,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,2",,,,,,,,,,,,,Obestämbart tandfragment,,4716
4717,2025-09-01,EM,IES Hässleholm,5B,Nötkreatur (Bos taurus),Dens,dIncisive,,Tänder,1,"0,4",,,,,,,,,,,,,Mjölkframtandfragment frĺn nötkreatur,,4717
4718,2025-09-01,EM,IES Hässleholm,5B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"0,2",,,,,,,,,B,,,,"Svartbränt fragment, okänd art",,4718
4719,2025-09-01,EM,IES Hässleholm,5B,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"0,1",,,,,,,,,W,,,,"Vitbränt fragment, okänd art",,4719
4720,2025-09-01,EM,IES Hässleholm,5B,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,1,"2,2",,,,,,,,,,M,,,Obestämbart fragment. Märgspaltad,,4720
4721,2025-09-01,EM,IES Hässleholm,5B,Däggdjur (Mammalia),Obestämd,Facies articularis,,Okänd,1,"3,9",,,,,,,,,,H,,,Obestämbart fragment. Kapad. Misstänker humerus frĺn större djur. Svin eller nötkreatur,,4721
4722,2025-09-01,EM,IES Hässleholm,5B,Däggdjur (Mammalia),Cranium,,,Okänd,3,2,,,,,,,,,,,,,Obestämbara kraniefragment,,4722
4723,2025-09-02,FM,Östraby skola,,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,1,"0,2",,,,,,,,,W,,,,"Vitbränt fragment, okänd art",,4723
4724,2025-09-02,FM,Östraby skola,,Däggdjur (Mammalia),Costa,Corpus,,Bĺl,3,"4,8",,,,,,,,,,,,,Obestämbara revbensfragment,,4724
4725,2025-09-02,FM,Östraby skola,,Däggdjur (Mammalia),Dentes,,,Tänder,3,"0,4",,,,,,,,,,,,,Obestämbara tandfragment,,4725
4726,2025-09-02,FM,Östraby skola,,Idisslare (Ruminantia),Dens,,,Tänder,1,"0,9",,,,,,,,,,,,,Tandfragment frĺn idisslare,,4726
4727,2025-09-02,FM,Östraby skola,,Svin (Sus sp.),Dens,M,,Tänder,1,"0,5",,,,,,,,,,,,,Svinmolarfragment,,4727
4728,2025-09-02,FM,Östraby skola,,Svin (Sus sp.),Dens,Incisive-,,Tänder,1,"0,3",,,,,,,,,,,,,"Framtandsfragment frĺn svin, underkäke",,4728
4729,2025-09-02,FM,Östraby skola,,Nötkreatur (Bos taurus),Dens,dIncisive,,Tänder,1,"0,3",,,,,,,,,,,,,Mjölkframtandfragment frĺn nötkreatur,,4729
4730,2025-09-02,FM,Östraby skola,,Nötkreatur (Bos taurus),Patella,Komplett,Sinister,Övre extremitet,1,"44,6",,,,,,,,,,,,,Vänster knĺskĺl frĺn nötkreatur,,4730
4731,2025-09-02,FM,Ludvigsborgsskolan,,Däggdjur (Mammalia),Obestämd,,,Okänd,1,"0,8",,,,,,,,,W,,,,"Vitbränt fragment, okänd art",,4731
4732,2025-09-02,FM,Ludvigsborgsskolan,,Idisslare (Ruminantia),Dens,,,Tänder,1,"0,2",,,,,,,,,,,,,Tandfragment frĺn idisslare,,4732
4733,2025-09-02,FM,Ludvigsborgsskolan,,Däggdjur (Mammalia),Dens,Apex,,Tänder,1,"0,4",,,,,,,,,,,,,Obestämbart tandrotfragment,,4733
4734,2025-09-02,FM,Ludvigsborgsskolan,,Däggdjur (Mammalia),Dens,,,Tänder,1,"0,2",,,,,,,,,,,,,Obestämbart tandfragment,,4734
4735,2025-09-02,FM,Ludvigsborgsskolan,,Däggdjur (Mammalia),Metapod,Trochlea,,Nedre extremitet,1,"1,8",,,,,,,,,,,,,Nedre ledyta frĺn partĺigt hovdjurs mellanhand/fotben. Sannolikt nötkreatur,,4735
4736,2025-09-02,FM,Ludvigsborgsskolan,,Däggdjur (Mammalia),Os longum,Diafys,,Okänd,1,"17,5",,,,,,,,,,M,,,Obestämbart rörbensfragment. Märgspaltad,,4736
